previous_graph_slot,current_graph_slot,slot_gap,previous_edges,current_edges,intersection_edges,union_edges,added_edges,removed_edges,edge_jaccard,weighted_cosine,relative_frobenius_change
284,285,1,100,100,75,125,25,25,0.6,0.9007944493307616,0.4668327686912083
285,286,1,100,100,78,122,22,22,0.639344262295082,0.9209236774523073,0.3922574675424546
286,287,1,100,100,77,123,23,23,0.6260162601626016,0.9299990484024351,0.3764640638355113
287,288,1,100,100,79,121,21,21,0.6528925619834711,0.9346208872984583,0.3586948861529916
288,289,1,100,100,79,121,21,21,0.6528925619834711,0.9301582730130054,0.37758134473438704
289,290,1,100,100,83,117,17,17,0.7094017094017094,0.9480108570280222,0.3240517511330334
290,291,1,100,100,78,122,22,22,0.639344262295082,0.9271033405108291,0.38116932114558355
291,292,1,100,100,78,122,22,22,0.639344262295082,0.8926892347399239,0.4506738414782425
292,293,1,100,100,82,118,18,18,0.6949152542372882,0.9374887005376256,0.35144281886765594
293,294,1,100,100,82,118,18,18,0.6949152542372882,0.9162821046991345,0.4329766558820037
294,295,1,100,100,83,117,17,17,0.7094017094017094,0.9099598022976471,0.4198317661281543
295,296,1,100,100,88,112,12,12,0.7857142857142857,0.9533320874620893,0.30277829401638223
296,297,1,100,100,79,121,21,21,0.6528925619834711,0.8990866577295821,0.44359078478695513
297,298,1,100,100,81,119,19,19,0.680672268907563,0.9215189235078971,0.4038677950337129
298,299,1,100,100,86,114,14,14,0.7543859649122807,0.9505544216635572,0.31343291212370117
299,300,1,100,100,77,123,23,23,0.6260162601626016,0.9139733042902867,0.4123700778487892
300,301,1,100,100,75,125,25,25,0.6,0.8765711048298807,0.5339868559837752
301,302,1,100,100,78,122,22,22,0.639344262295082,0.9332158731770874,0.36761399291386937
302,303,1,100,100,82,118,18,18,0.6949152542372882,0.9465643248092362,0.32670922207738645
